Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
55.0,0.0,4.0,2.0,2.0,3333.0,136114.0,0.0,23,203.0,82.0,03,003,M03.01,0300300013104011,muy bajo,Muy Alto,Muy Alto,La Paz
55.0,0.0,4.0,2.0,2.0,3333.0,136114.0,0.0,38,203.0,82.0,03,003,M03.01,0300300013104003,muy bajo,Muy Alto,Muy Alto,La Paz
55.0,0.0,4.0,2.0,2.0,3333.0,136114.0,0.0,20,203.0,82.0,03,003,M03.01,0300300013104012,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,18,192.0,40.0,03,003,M03.01,0300300013104023,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,24,192.0,40.0,03,003,M03.01,0300300013104016,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,18,192.0,40.0,03,003,M03.01,0300300013104017,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,24,192.0,40.0,03,003,M03.01,0300300013104024,muy bajo,Muy Alto,Muy Alto,La Paz
55.0,0.0,4.0,2.0,2.0,3333.0,136114.0,0.0,21,203.0,82.0,03,003,M03.01,0300300013104029,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,17,192.0,40.0,03,003,M03.01,0300300013104019,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,16,192.0,40.0,03,003,M03.01,0300300013104018,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,30,192.0,40.0,03,003,M03.01,0300300013104025,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,15,192.0,40.0,03,003,M03.01,0300300013104020,muy bajo,Muy Alto,Muy Alto,La Paz
87.0,0.0,6.0,2.0,4.0,3048.0,61503.0,0.0,0,203.0,58.0,03,003,M03.01,0300300013104045,s/p,S/P,S/P,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,35,192.0,40.0,03,003,M03.01,0300300013104007,muy bajo,Muy Alto,Muy Alto,La Paz
34.0,0.0,3.0,2.0,2.0,2199.0,55529.0,0.0,25,192.0,40.0,03,003,M03.01,0300300013104027,muy bajo,Muy Alto,Muy Alto,La Paz
45.0,0.0,4.0,3.0,2.0,4013.0,77230.0,0.0,41,203.0,82.0,03,003,M03.01,0300300013104047,muy bajo,Muy Alto,Muy Alto,La Paz
45.0,0.0,4.0,3.0,2.0,4013.0,77230.0,0.0,45,203.0,82.0,03,003,M03.01,0300300013104048,muy bajo,Muy Alto,Muy Alto,La Paz
55.0,0.0,4.0,2.0,2.0,3333.0,136114.0,0.0,0,203.0,82.0,03,003,M03.01,0300300013104014,s/p,S/P,S/P,La Paz
79.0,0.0,0.0,3.0,4.0,3263.0,232.0,0.0,0,203.0,77.0,03,003,M03.01,0300300013104044,s/p,S/P,S/P,La Paz
36.0,0.0,3.0,2.0,2.0,1847.0,136114.0,0.0,86,0.0,8.0,03,003,M03.01,0300300013123027,bajo,Alto,Alto,La Paz
