cve_ent,cve_mun,cve_sun,cvegeo,sun,gmu,iisu_sun,iisu_cd,Pob_2010,Empleo,E_basica,E_media,E_superior,Salud_cama,Salud_cons,Abasto,Espacio_ab,Cultura,Est_Tpte,geometry
03,003,M03.01,0300300013161001,La Paz,bajo,Alto,Alto,3,990.0,0.0,2.0,3.0,0.0,2.0,20.0,1632.0,0.0,0.0,"POLYGON ((-110.30848962758115 24.108360095795344, -110.30806933336964 24.10836450363583, -110.30799698459101 24.10806682825869, -110.30796115877894 24.107926227999705, -110.30786194573928 24.1075105092667, -110.30775256006338 24.10695672760982, -110.30828412023615 24.107182465673628, -110.30864007366289 24.107320332293508, -110.30859719286923 24.107414784276234, -110.30850864796031 24.107597188764696, -110.3084683444737 24.107799721415756, -110.30848962758115 24.108360095795344))"
03,003,M03.01,0300300013161002,La Paz,bajo,Alto,Alto,8,695.0,0.0,0.0,0.0,0.0,2.0,12.0,673.0,0.0,0.0,"POLYGON ((-110.30870710970068 24.109115598725996, -110.30854060429546 24.10919100791695, -110.30846174771324 24.109223576354477, -110.30836757915233 24.109293265213644, -110.30830170965753 24.109191234884396, -110.30825804663793 24.109112887553486, -110.30821787931593 24.1089955411745, -110.3080931493593 24.10842437870597, -110.3084736666322 24.108418665866477, -110.30848656160565 24.108813669683894, -110.30849298379651 24.108884819837087, -110.30851149469497 24.1089190235917, -110.30859107293038 24.108998586106047, -110.30870710970068 24.109115598725996))"
03,003,M03.01,0300300013161008,La Paz,s/p,S/P,S/P,0,695.0,0.0,0.0,0.0,0.0,2.0,12.0,673.0,0.0,0.0,"POLYGON ((-110.30876791525539 24.109096636405347, -110.30863780443129 24.10897083038192, -110.30857976165304 24.10890871788106, -110.30854515259294 24.108861722068372, -110.30853704222929 24.108809025091254, -110.30855557659285 24.108432540330494, -110.3087706953013 24.108494181901257, -110.30935639310172 24.108527247972905, -110.30987961985406 24.10836202798401, -110.30989435257843 24.108409450611795, -110.30991599247575 24.108403597184758, -110.30994699132091 24.10839634937501, -110.30993220003704 24.108348216212402, -110.31046455043904 24.10833136259685, -110.3104676563901 24.10840011589242, -110.31023891548956 24.108451922397684, -110.31000535151836 24.1084802697019, -110.30966761721088 24.108711309135405, -110.30939981779132 24.109000113768523, -110.30923218098012 24.109084564128615, -110.3089577391328 24.10909140329111, -110.30876791525539 24.109096636405347))"
03,003,M03.01,0300300013161053,La Paz,s/p,S/P,S/P,0,990.0,0.0,2.0,3.0,0.0,2.0,19.0,23651.0,0.0,0.0,"POLYGON ((-110.30756043680955 24.10529277246734, -110.30749928198152 24.105350621777614, -110.30744588205667 24.10538060573691, -110.30734911837267 24.105444210231116, -110.307246970951 24.105533649887747, -110.3071340822396 24.105683137828517, -110.30704253325598 24.105524932677064, -110.30691790803348 24.10534323687825, -110.30669218221543 24.104340499173077, -110.30743792241854 24.10422147694785, -110.30757831086585 24.105155729994447, -110.30756043680955 24.10529277246734))"
03,003,M03.01,0300300013161013,La Paz,bajo,Alto,Alto,59,990.0,0.0,2.0,3.0,0.0,2.0,19.0,23651.0,0.0,0.0,"POLYGON ((-110.30835243998916 24.105118380162274, -110.30814916785503 24.106078403225357, -110.30713333519554 24.10589819379873, -110.30719162510783 24.105747831087413, -110.30724598368002 24.105637892438697, -110.30729108993961 24.105570921871315, -110.3073709771243 24.10551172642797, -110.30749360112314 24.105426250992465, -110.30757511378404 24.105376781589058, -110.30763304628422 24.105331615468806, -110.30767687436452 24.105197434905612, -110.30753797494943 24.10420550798864, -110.30806075455722 24.1041220682226, -110.30816072575696 24.105087814885966, -110.30835243998916 24.105118380162274))"
03,003,M03.01,0300300013161052,La Paz,s/p,S/P,S/P,0,948.0,0.0,0.0,1.0,0.0,2.0,16.0,2410.0,0.0,0.0,"POLYGON ((-110.30836798542533 24.105045417919694, -110.30821259886484 24.105023706311133, -110.3081183126281 24.10411288138216, -110.30858097296067 24.104039035353637, -110.30836798542533 24.105045417919694))"
03,003,M03.01,0300300014225002,La Paz,n/d,N/D,N/D,4,990.0,0.0,2.0,3.0,0.0,2.0,19.0,23651.0,0.0,0.0,"POLYGON ((-110.30585057357186 24.104352463920264, -110.30550237470975 24.10439956023924, -110.30542059594484 24.103950430940415, -110.30575521774178 24.10389931592049, -110.30585057357186 24.104352463920264))"
03,003,M03.01,0300300014225001,La Paz,n/d,N/D,N/D,3,815.0,0.0,0.0,1.0,0.0,2.0,10.0,1553.0,0.0,0.0,"POLYGON ((-110.30679616526336 24.103885196443333, -110.30684403763686 24.104195476205312, -110.30638618019347 24.104271433497768, -110.30632338520259 24.103948989587757, -110.30679616526336 24.103885196443333))"
03,003,M03.01,030030001341A036,La Paz,alto,Bajo,Intermedio,26,495.0,1.0,0.0,0.0,0.0,1.0,27.0,1199.0,0.0,0.0,"POLYGON ((-110.29554545476879 24.11537493555925, -110.29520805216181 24.114485914137205, -110.29619772954133 24.113694954606157, -110.29662988180127 24.114068390538318, -110.29692572322169 24.114440085551596, -110.29554545476879 24.11537493555925))"
03,003,M03.01,030030001341A011,La Paz,alto,Bajo,Intermedio,38,297.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,"POLYGON ((-110.29353643953228 24.11570110093773, -110.29324776761406 24.112804009997934, -110.2942076497058 24.112814320206468, -110.29546911292528 24.114156008127804, -110.29383072212354 24.115465397889064, -110.29371866867541 24.114612811657697, -110.2936686210994 24.114612580286675, -110.29361530963757 24.114612333808548, -110.29376294269012 24.11551956573703, -110.29353643953228 24.11570110093773))"
