latitud,longitud,fecha,t_mean_2m_12h,relative_humidity_mean_2m_12h,precip_12h,air_quality
24.108736,-110.354364,2023-12-17T12:00:00Z,19.9,80.5,0.0,1.0
24.108736,-110.354364,2023-12-18T00:00:00Z,23.5,63.5,0.0,1.0
24.108736,-110.354364,2023-12-18T12:00:00Z,20.9,68.7,0.0,1.0
24.108736,-110.354364,2023-12-19T00:00:00Z,24.7,50.9,0.0,1.0
24.108736,-110.354364,2023-12-19T12:00:00Z,21.5,62.3,0.0,0.0
24.108736,-110.354364,2023-12-20T00:00:00Z,25.7,38.1,0.0,1.0
24.108736,-110.354364,2023-12-20T12:00:00Z,22.8,66.1,0.0,0.0
24.108736,-110.354364,2023-12-21T00:00:00Z,24.2,51.6,0.0,1.0
24.108736,-110.354364,2023-12-21T12:00:00Z,23.2,52.7,0.0,0.0
24.108736,-110.354364,2023-12-22T00:00:00Z,24.1,67.5,0.0,1.0
24.108736,-110.354364,2023-12-22T12:00:00Z,22.2,71.3,0.0,0.0
24.108736,-110.354364,2023-12-23T00:00:00Z,25.7,58.6,0.0,0.0
24.108736,-110.354364,2023-12-23T12:00:00Z,22.5,83.3,0.0,0.0
24.108736,-110.354364,2023-12-24T00:00:00Z,23.8,68.8,0.0,0.0
24.108736,-110.354364,2023-12-24T12:00:00Z,20.7,72.5,0.49,1.0
24.108736,-110.354364,2023-12-25T00:00:00Z,22.3,61.3,0.0,1.0
24.108736,-110.354364,2023-12-25T12:00:00Z,20.2,68.1,0.0,0.0
24.108736,-110.354364,2023-12-26T00:00:00Z,21.5,61.2,0.0,1.0
24.108736,-110.354364,2023-12-26T12:00:00Z,19.0,75.2,0.0,1.0
24.108736,-110.354364,2023-12-27T00:00:00Z,21.2,65.6,0.0,1.0
24.108736,-110.354364,2023-12-27T12:00:00Z,18.9,80.2,0.0,1.0
24.108736,-110.354364,2023-12-28T00:00:00Z,21.1,68.1,0.0,1.0
24.108736,-110.354364,2023-12-28T12:00:00Z,18.4,79.7,0.0,1.0
24.108736,-110.354364,2023-12-29T00:00:00Z,21.5,59.3,0.0,1.0
24.108736,-110.354364,2023-12-29T12:00:00Z,18.4,74.4,0.0,1.0
24.108736,-110.354364,2023-12-30T00:00:00Z,21.3,68.1,0.0,1.0
24.108736,-110.354364,2023-12-30T12:00:00Z,18.7,79.1,0.0,1.0
24.108736,-110.354364,2023-12-31T00:00:00Z,22.4,50.9,0.0,1.0
24.108736,-110.354364,2023-12-31T12:00:00Z,19.5,61.5,0.0,0.0
24.108736,-110.354364,2024-01-01T00:00:00Z,22.2,45.1,0.0,1.0
24.108736,-110.354364,2024-01-01T12:00:00Z,19.9,69.6,0.0,0.0
24.108736,-110.354364,2024-01-02T00:00:00Z,21.4,57.1,0.0,1.0
24.108736,-110.354364,2024-01-02T12:00:00Z,19.7,70.9,0.0,1.0
24.108736,-110.354364,2024-01-03T00:00:00Z,20.5,63.9,0.0,1.0
24.108736,-110.354364,2024-01-03T12:00:00Z,18.5,74.6,0.0,1.0
24.108736,-110.354364,2024-01-04T00:00:00Z,20.8,59.2,0.0,1.0
24.108736,-110.354364,2024-01-04T12:00:00Z,17.5,68.2,0.0,1.0
24.108736,-110.354364,2024-01-05T00:00:00Z,19.0,62.0,0.0,1.0
24.108736,-110.354364,2024-01-05T12:00:00Z,18.0,69.9,0.0,1.0
24.108736,-110.354364,2024-01-06T00:00:00Z,19.7,53.8,0.0,1.0
24.108736,-110.354364,2024-01-06T12:00:00Z,17.5,64.2,0.0,1.0
24.108736,-110.354364,2024-01-07T00:00:00Z,20.1,53.1,0.0,1.0
24.108736,-110.354364,2024-01-07T12:00:00Z,17.8,65.9,0.0,1.0
24.108736,-110.354364,2024-01-08T00:00:00Z,20.3,47.3,0.0,1.0
24.108736,-110.354364,2024-01-08T12:00:00Z,16.8,67.3,0.0,1.0
24.108736,-110.354364,2024-01-09T00:00:00Z,18.4,63.6,0.0,1.0
24.108736,-110.354364,2024-01-09T12:00:00Z,16.8,53.7,0.0,1.0
24.108736,-110.354364,2024-01-10T00:00:00Z,18.0,49.9,0.0,1.0
24.108736,-110.354364,2024-01-10T12:00:00Z,15.9,63.3,0.0,1.0
24.108736,-110.354364,2024-01-11T00:00:00Z,18.7,45.9,0.0,1.0
24.108736,-110.354364,2024-01-11T12:00:00Z,17.3,60.9,0.0,0.0
24.108736,-110.354364,2024-01-12T00:00:00Z,19.3,56.0,0.0,1.0
24.108736,-110.354364,2024-01-12T12:00:00Z,18.8,65.5,0.0,1.0
24.108736,-110.354364,2024-01-13T00:00:00Z,19.9,58.0,0.0,1.0
24.108736,-110.354364,2024-01-13T12:00:00Z,16.9,67.5,0.0,1.0
24.108736,-110.354364,2024-01-14T00:00:00Z,19.7,65.1,0.0,1.0
24.108736,-110.354364,2024-01-14T12:00:00Z,16.9,73.2,0.0,1.0
24.108736,-110.354364,2024-01-15T00:00:00Z,20.9,55.0,0.0,1.0
24.108736,-110.354364,2024-01-15T12:00:00Z,17.9,60.0,0.0,1.0
24.108736,-110.354364,2024-01-16T00:00:00Z,20.9,46.9,0.0,1.0
24.108736,-110.354364,2024-01-16T12:00:00Z,18.7,82.2,0.0,1.0
24.108736,-110.354364,2024-01-17T00:00:00Z,20.9,70.2,0.0,1.0
24.108736,-110.354364,2024-01-17T12:00:00Z,18.2,71.6,0.0,1.0
24.108736,-110.354364,2024-01-18T00:00:00Z,21.7,57.5,0.0,1.0
24.108736,-110.354364,2024-01-18T12:00:00Z,18.5,69.4,0.0,0.0
24.108736,-110.354364,2024-01-19T00:00:00Z,22.9,44.4,0.0,1.0
24.108736,-110.354364,2024-01-19T12:00:00Z,19.4,60.5,0.0,1.0
24.108736,-110.354364,2024-01-20T00:00:00Z,22.7,49.0,0.0,1.0
24.108736,-110.354364,2024-01-20T12:00:00Z,19.4,54.7,0.0,0.0
24.108736,-110.354364,2024-01-21T00:00:00Z,24.1,36.9,0.0,1.0
24.108736,-110.354364,2024-01-21T12:00:00Z,20.4,68.1,0.0,0.0
24.108736,-110.354364,2024-01-22T00:00:00Z,21.5,63.9,0.0,1.0
24.108736,-110.354364,2024-01-22T12:00:00Z,18.3,75.5,0.0,0.0
24.108736,-110.354364,2024-01-23T00:00:00Z,20.3,63.6,0.0,1.0
24.108736,-110.354364,2024-01-23T12:00:00Z,20.0,70.4,0.0,0.0
24.108736,-110.354364,2024-01-24T00:00:00Z,21.8,63.3,0.0,1.0
24.108736,-110.354364,2024-01-24T12:00:00Z,20.2,74.2,0.0,0.0
24.108736,-110.354364,2024-01-25T00:00:00Z,20.5,68.1,0.0,1.0
24.108736,-110.354364,2024-01-25T12:00:00Z,17.9,79.5,0.0,1.0
24.108736,-110.354364,2024-01-26T00:00:00Z,21.0,65.0,0.0,1.0
24.108736,-110.354364,2024-01-26T12:00:00Z,18.4,68.7,0.0,0.0
24.108736,-110.354364,2024-01-27T00:00:00Z,21.3,61.8,0.0,1.0
24.108736,-110.354364,2024-01-27T12:00:00Z,19.0,73.7,0.0,1.0
24.108736,-110.354364,2024-01-28T00:00:00Z,21.3,66.6,0.0,1.0
24.108736,-110.354364,2024-01-28T12:00:00Z,18.4,80.7,0.0,1.0
24.108736,-110.354364,2024-01-29T00:00:00Z,21.5,66.5,0.0,1.0
24.108736,-110.354364,2024-01-29T12:00:00Z,19.0,70.6,0.0,1.0
24.108736,-110.354364,2024-01-30T00:00:00Z,22.8,53.3,0.0,1.0
24.108736,-110.354364,2024-01-30T12:00:00Z,21.7,56.9,0.52,0.0
24.108736,-110.354364,2024-01-31T00:00:00Z,23.9,59.6,0.58,1.0
24.108736,-110.354364,2024-01-31T12:00:00Z,20.7,74.9,0.0,0.0
24.108736,-110.354364,2024-02-01T00:00:00Z,24.0,56.6,0.0,1.0
24.108736,-110.354364,2024-02-01T12:00:00Z,21.2,66.7,0.0,1.0
24.108736,-110.354364,2024-02-02T00:00:00Z,23.8,54.1,0.0,1.0
24.108736,-110.354364,2024-02-02T12:00:00Z,20.2,78.7,0.0,0.0
24.108736,-110.354364,2024-02-03T00:00:00Z,21.4,67.4,0.0,1.0
24.108736,-110.354364,2024-02-03T12:00:00Z,18.3,69.7,0.0,1.0
24.108736,-110.354364,2024-02-04T00:00:00Z,19.0,60.9,0.0,1.0
24.108736,-110.354364,2024-02-04T12:00:00Z,17.4,75.1,0.0,1.0
24.108736,-110.354364,2024-02-05T00:00:00Z,20.1,64.6,0.0,1.0
24.108736,-110.354364,2024-02-05T12:00:00Z,18.1,66.9,0.0,1.0
24.108736,-110.354364,2024-02-06T00:00:00Z,22.6,46.1,0.0,1.0
24.108736,-110.354364,2024-02-06T12:00:00Z,19.5,63.0,0.0,0.0
24.108736,-110.354364,2024-02-07T00:00:00Z,22.3,44.5,0.0,1.0
24.108736,-110.354364,2024-02-07T12:00:00Z,20.3,72.3,0.0,1.0
24.108736,-110.354364,2024-02-08T00:00:00Z,21.0,59.2,0.43,1.0
24.108736,-110.354364,2024-02-08T12:00:00Z,18.6,66.5,0.0,1.0
24.108736,-110.354364,2024-02-09T00:00:00Z,18.9,63.7,0.0,1.0
24.108736,-110.354364,2024-02-09T12:00:00Z,18.0,65.8,0.0,1.0
24.108736,-110.354364,2024-02-10T00:00:00Z,18.2,64.3,0.0,1.0
24.108736,-110.354364,2024-02-10T12:00:00Z,15.9,69.2,0.0,1.0
24.108736,-110.354364,2024-02-11T00:00:00Z,18.8,52.0,0.0,1.0
24.108736,-110.354364,2024-02-11T12:00:00Z,17.5,63.6,0.0,1.0
24.108736,-110.354364,2024-02-12T00:00:00Z,18.9,61.1,0.0,1.0
24.108736,-110.354364,2024-02-12T12:00:00Z,16.2,67.1,0.0,1.0
24.108736,-110.354364,2024-02-13T00:00:00Z,19.8,58.4,0.0,1.0
24.108736,-110.354364,2024-02-13T12:00:00Z,16.5,67.6,0.0,1.0
24.108736,-110.354364,2024-02-14T00:00:00Z,19.2,59.6,0.0,1.0
24.108736,-110.354364,2024-02-14T12:00:00Z,17.9,67.6,0.0,1.0
24.108736,-110.354364,2024-02-15T00:00:00Z,20.0,60.3,0.0,1.0
24.108736,-110.354364,2024-02-15T12:00:00Z,18.6,72.8,0.0,1.0
